2026-05-12 12:20:07 [INF] HTTP GET /Admin/WeaponTypes/Edit/1 responded 200 in 77.9960 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000043","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":17}
2026-05-12 12:20:07 [INF] HTTP GET /css/custom.css responded 304 in 0.4340 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000045","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":24}
2026-05-12 12:20:09 [INF] HTTP POST /Admin/WeaponTypes/Edit/1 responded 302 in 46.7928 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:0000004B","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":25}
2026-05-12 12:20:09 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 10.0795 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:0000004D","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":26}
2026-05-12 12:20:32 [INF] HTTP GET /Admin/WeaponTypes/Create responded 200 in 22.4882 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000053","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":25}
2026-05-12 12:30:54 [INF] AMS Home page opened {"ActionId":"4288c34b-cd4a-4bc1-ab30-40a0ff099bbd","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG265FIIN4:00000001","RequestPath":"/","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":17}
2026-05-12 12:30:54 [INF] HTTP GET / responded 200 in 444.7676 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000001","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":5}
2026-05-12 12:30:54 [INF] HTTP GET /css/custom.css responded 200 in 54.3825 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000003","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":7}
2026-05-12 12:31:00 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 448.9865 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000009","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":20}
2026-05-12 12:31:08 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 160.3098 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:0000000F","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":17}
2026-05-12 12:31:10 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 27.9574 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000015","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":19}
2026-05-12 12:31:21 [INF] HTTP GET /Admin/WeaponTypes/Create responded 200 in 110.6951 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:0000001B","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":20}
2026-05-12 12:31:21 [INF] HTTP GET /css/custom.css responded 304 in 1.0220 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:0000001D","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":20}
2026-05-12 12:37:27 [INF] HTTP GET /Admin/Users/Create responded 200 in 890.2059 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000023","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":19}
2026-05-12 12:37:27 [INF] HTTP GET /css/custom.css responded 304 in 7.2151 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000025","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":19}
2026-05-12 12:37:32 [INF] HTTP GET /Admin/Users/Create responded 200 in 41.3554 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:0000002B","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":27}
2026-05-12 12:37:34 [INF] AMS Home page opened {"ActionId":"4288c34b-cd4a-4bc1-ab30-40a0ff099bbd","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG265FIIN4:00000031","RequestPath":"/","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":19}
2026-05-12 12:37:34 [INF] HTTP GET / responded 200 in 12.6979 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG265FIIN4:00000031","ConnectionId":"0HNLG265FIIN4","MachineName":"BERINNOTEBOOK","ProcessId":42148,"ThreadId":28}
2026-05-12 12:47:43 [INF] AMS Home page opened {"ActionId":"28d6f391-eb06-4565-bbe3-49816bbfcab3","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG2FHUQD6O:00000001","RequestPath":"/","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":17}
2026-05-12 12:47:43 [INF] HTTP GET / responded 200 in 501.3506 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:00000001","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":17}
2026-05-12 12:47:43 [INF] HTTP GET /css/custom.css responded 200 in 53.3457 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:00000003","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":11}
2026-05-12 12:47:55 [INF] HTTP GET /css/custom.css responded 304 in 2.7081 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:00000009","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":5}
2026-05-12 12:47:55 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 10.2454 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:0000000B","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":19}
2026-05-12 12:47:55 [INF] HTTP GET /assets/maps/style.css.map responded 404 in 30.0537 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:0000000D","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":16}
2026-05-12 12:48:01 [INF] HTTP GET /assets/images/avatar/user-1.svg responded 404 in 1.5402 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:0000000F","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":17}
2026-05-12 12:48:06 [INF] HTTP GET /assets/images/avatar/user-3.svg responded 404 in 1.9691 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG2FHUQD6O:00000011","ConnectionId":"0HNLG2FHUQD6O","MachineName":"BERINNOTEBOOK","ProcessId":37624,"ThreadId":16}
2026-05-12 13:18:24 [INF] AMS Home page opened {"ActionId":"e27b9ddb-0838-4f33-9bea-d3a0cdb61be5","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG30MPBFI8:00000001","RequestPath":"/","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":16}
2026-05-12 13:18:25 [INF] HTTP GET / responded 200 in 802.0566 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000001","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":7}
2026-05-12 13:18:25 [INF] HTTP GET /css/custom.css responded 304 in 10.8888 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000003","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":17}
2026-05-12 13:18:25 [INF] HTTP GET /assets/fonts/fa-regular-400.woff2 responded 200 in 50.7582 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000009","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":16}
2026-05-12 13:18:50 [INF] HTTP GET /Admin/Users/Create responded 200 in 373.3484 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000000B","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":23}
2026-05-12 13:18:56 [INF] HTTP GET /Admin/DataCapture responded 200 in 54.3178 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000011","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":19}
2026-05-12 13:18:56 [INF] HTTP GET /assets/fonts/fa-solid-900.woff2 responded 200 in 54.2761 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000017","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":22}
